Preprocessed_Text,CategoryId
"['sir', 'paul', 'rock', 'super', 'bowl', 'crowd', 'sir', 'paul', 'mccartney', 'wowed', 'fan', 'live', 'miniconcert', 'american', 'football', 'super', 'bowl', 'avoided', 'janet', 'jacksonstyle', 'controversy', '62yearold', 'sang', 'hey', 'jude', 'beatles', 'song', '12minute', 'set', 'halftime', 'game', 'florida', 'last', 'year', 'jackson', 'exposed', 'breast', 'dance', 'routine', 'causing', 'outrage', 'among', 'million', 'tv', 'viewer', 'landing', 'cbs', 'tv', 'network', 'fine', 'sir', 'paul', 'however', 'nothing', 'racy', 'remove', 'jacket', 'sang', 'organiser', 'widely', 'considered', 'playing', 'safe', 'year', 'booking', '62yearold', 'sir', 'paul', 'second', 'super', 'bowl', 'show', 'three', 'year', 'ago', 'invited', 'perform', 'first', 'super', 'bowl', 'september', '11', 'attack', 'performed', 'speciallywritten', 'song', 'freedom', 'time', 'started', 'show', 'alltel', 'stadium', 'jacksonville', 'florida', 'beatles', 'number', 'drive', 'car', 'get', 'back', 'performed', 'mellow', 'version', 'live', 'let', 'die', 'james', 'bond', 'theme', 'recorded', 'band', 'wing', 'finally', 'closed', 'show', 'rousing', 'version', 'hey', 'jude', 'former', 'beatle', 'resisted', 'temptation', 'refer', 'janet', 'jackson', 'headlinegrabbing', 'performance', 'last', 'year', 'instead', 'keeping', 'banter', 'song', 'minimum', 'order', 'squeeze', 'much', 'music', 'could', 'slot', 'singer', 'removed', 'black', 'jacket', 'halfway', 'show', 'fan', 'hoping', 'second', 'nipplegate', 'disappointed', 'kept', 'red', 'sweatshirt', 'underneath', 'earlier', 'black', 'eyed', 'pea', 'alicia', 'key', 'provided', 'night', 'highprofile', 'entertainment', 'performing', 'pregame', 'show', 'black', 'eyed', 'pea', 'singer', 'fergie', 'dressed', 'tight', 'orange', 'top', 'purple', 'hotpants', 'nothing', 'performance', 'likely', 'upset', 'tv', 'watchdog', 'controversy', 'last', 'year', 'saw', 'cbs', 'fined', 'record', '550000', '292000', 'federal', 'regulator', 'super', 'bowl', 'organiser', 'turned', 'producer', 'mischer', 'oversee', 'year', 'halftime', 'show', 'previous', 'production', 'credit', 'included', 'olympic', 'opening', 'closing', 'ceremony', 'super', 'bowl', 'watched', 'audience', '1444', 'million', 'u', 'many', 'people', 'watching', 'said', 'tune', 'specifically', 'see', 'entertainment', 'put', 'around', 'event', 'michael', 'jackson', 'aerosmith', 'diana', 'ross', 'gloria', 'estefan', 'phil', 'collins', 'among', 'star', 'previously', 'graced', 'super', 'bowl', 'stage']",0
"['mcilroy', 'aiming', 'madrid', 'title', 'northern', 'ireland', 'man', 'james', 'mcilroy', 'confident', 'win', 'first', 'major', 'title', 'weekend', 'spar', 'european', 'indoor', 'championship', 'madrid', '28yearold', 'great', 'form', 'recent', 'week', 'go', 'one', '800', 'metre', 'favourite', 'believe', 'win', 'abroad', 'trial', 'race', 'sheffield', 'run', 'race', 'front', 'back', 'middle', 'said', 'mcilroy', 'new', 'coach', 'tony', 'lester', 'helped', 'get', 'mcilroys', 'career', 'back', 'track', '28yearold', '800', 'metre', 'runner', 'always', 'matched', 'promise', 'performance', 'belief', 'decision', 'change', 'coach', 'move', 'base', 'bring', 'reward', 'mcilroy', 'life', 'windsor', 'feel', 'career', 'transformed', 'nononsense', 'leadership', 'style', 'former', 'army', 'sergeant', 'lester', 'lester', 'better', 'known', 'work', '400m', 'runner', 'roger', 'black', 'mark', 'richardson', 'past', 'guidance', 'mcilroy', 'secured', 'five', 'win', 'indoor', 'season', 'mcilroy', 'claim', 'best', 'shape', 'since', 'finishing', 'fourth', 'ireland', 'outdoor', 'european', 'championship', '1998', 'last', 'decent', 'year', 'said', 'mcilroy', 'temporarily', 'retired', 'last', 'august', 'returning', 'sport', 'lesters', 'shrewd', 'guidance', 'every', 'race', 'like', 'trying', 'climb', 'mount', 'everest', 'know', 'cant', 'trying', 'succeed', 'saw', 'sometimes', 'standing', 'halfdead', 'terrified', 'starting', 'line', 'became', 'bit', 'much', 'mcilroy', 'compared', 'like', 'sebastian', 'coe', 'steve', 'cram', 'steve', 'ovett', 'younger', 'day', 'competing', 'without', 'benefit', 'national', 'lottery', 'funding', 'situation', 'could', 'change', 'maintains', 'current', 'form', 'repeat', 'worldclass', 'time', 'produced', '800m', '1000m', 'major', 'race', 'erfurt', 'stuttgart', 'earlier', 'season', 'russian', 'dmitriy', 'bogdanov', 'madrid', 'venue', 'last', 'week', 'claimed', 'european', 'championship', 'race', 'would', 'dutchman', 'arnoud', 'okken', 'antonio', 'reina', 'spain', 'mcilroy', 'unfazed', 'admitted', 'looked', 'quite', 'good', 'win', 'fair', 'enough', 'everyone', 'right', 'opinion', 'never', 'write', 'let', 'face', 'havent', 'looked', 'like', 'beaten', 'season', 'mcilroy', 'whose', 'time', 'one', 'minute', '4668seconds', 'erfurt', 'elevated', 'sixth', 'place', 'uk', 'alltime', 'list', 'also', 'already', 'looking', 'beyond', 'madrid', 'said', 'ive', 'much', 'focused', 'year', 'career', 'good', 'team', 'around', 'important', 'ultimately', 'course', 'weekend', 'mean', 'end', 'getting', 'prepared', 'summer', 'world', 'championship', 'ambition', 'meant', 'ive', 'two', 'night', 'since', 'last', 'august', 'rest', 'time', 'seen', 'concentrating', 'rebuilding', 'career']",2
"['jp', 'morgan', 'admits', 'u', 'slavery', 'link', 'thousand', 'slave', 'accepted', 'collateral', 'loan', 'two', 'bank', 'later', 'became', 'part', 'jp', 'morgan', 'chase', 'admission', 'part', 'apology', 'sent', 'jp', 'morgan', 'staff', 'bank', 'researched', 'link', 'slavery', 'order', 'meet', 'legislation', 'chicago', 'citizen', 'bank', 'canal', 'bank', 'two', 'lender', 'identified', 'closed', 'linked', 'bank', 'one', 'jp', 'morgan', 'bought', 'last', 'year', '13000', 'slave', 'used', 'loan', 'collateral', '1831', '1865', 'default', 'plantation', 'owner', 'citizen', 'canal', 'ended', 'owning', '1250', 'slave', 'know', 'slavery', 'existed', 'country', 'quite', 'different', 'see', 'history', 'institution', 'slavery', 'intertwined', 'jp', 'morgan', 'chief', 'executive', 'william', 'harrison', 'chief', 'operating', 'officer', 'james', 'dimon', 'said', 'letter', 'slavery', 'tragically', 'ingrained', 'american', 'society', 'excuse', 'apologise', 'africanamerican', 'community', 'particularly', 'descendant', 'slave', 'rest', 'american', 'public', 'role', 'citizen', 'bank', 'canal', 'bank', 'played', 'slavery', 'era', 'tragic', 'time', 'u', 'history', 'company', 'history', 'jp', 'morgan', 'said', 'setting', '5m', 'scholarship', 'programme', 'student', 'living', 'louisiana', 'state', 'event', 'took', 'place', 'bank', 'said', 'different', 'company', 'citizen', 'canal', 'bank', '1800s']",1
"['iraq', 'afghanistan', 'wto', 'talk', 'world', 'trade', 'organisation', 'wto', 'hold', 'membership', 'talk', 'iraq', 'afghanistan', 'iran', 'bid', 'join', 'trade', 'body', 'refused', 'u', 'blocked', 'application', '21st', 'time', 'country', 'stand', 'reap', 'huge', 'benefit', 'membership', 'group', 'whose', 'purpose', 'promote', 'free', 'trade', 'joining', 'however', 'lengthy', 'process', 'china', 'admission', '2001', 'took', '15', 'year', 'talk', 'russia', 'saudi', 'arabia', 'taking', 'place', '10', 'year', 'membership', 'genevabased', 'wto', 'help', 'guarantee', 'country', 'good', 'receives', 'equal', 'treatment', 'market', 'member', 'state', 'policy', 'seen', 'become', 'closely', 'associated', 'globalisation', 'iraq', 'trade', 'minister', 'mohammed', 'mustafa', 'aljibouri', 'welcomed', 'move', 'describing', 'significant', 'november', 'decision', 'paris', 'club', 'creditor', 'nation', 'write', '80', 'country', 'debt', 'assad', 'omar', 'afghanistan', 'envoy', 'united', 'nation', 'geneva', 'said', 'accession', 'would', 'contribute', 'regional', 'prosperity', 'global', 'security', '27', 'country', 'seeking', 'membership', 'wto', 'prospective', 'member', 'need', 'enter', 'negotiation', 'potential', 'trading', 'country', 'change', 'domestic', 'law', 'bring', 'line', 'wto', 'regulation', 'process', 'get', 'way', '148', 'wto', 'member', 'must', 'give', 'backing', 'applicant', 'country', 'u', 'said', 'could', 'approve', 'iran', 'application', 'currently', 'reviewing', 'relation', 'several', 'nation', 'criticised', 'approach', 'european', 'union', 'ambassador', 'wto', 'carlo', 'trojan', 'said', 'iran', 'application', 'must', 'treated', 'independently', 'political', 'issue']",1
"['dogged', 'federer', 'claim', 'dubai', 'crown', 'world', 'number', 'one', 'roger', 'federer', 'added', 'dubai', 'championship', 'trophy', 'long', 'list', 'success', 'given', 'test', 'ivan', 'ljubicic', 'top', 'seed', 'federer', 'looked', 'course', 'easy', 'victory', 'thumped', 'eighth', 'seed', '61', 'first', 'set', 'ljubicic', 'beat', 'tim', 'henman', 'last', 'eight', 'dug', 'deep', 'secure', 'second', 'set', 'tense', 'tiebreak', 'swiss', 'star', 'federer', 'lose', 'cool', 'though', 'turning', 'style', 'win', 'deciding', 'set', '63', 'match', 'rerun', 'last', 'week', 'final', 'world', 'indoor', 'tournament', 'rotterdam', 'federer', 'triumphed', 'ljubicic', 'stretched', 'way', 'really', 'wanted', 'get', 'good', 'start', 'time', 'could', 'really', 'play', 'confidence', 'still', 'looking', 'rhythm', 'federer', 'said', 'took', 'way', '61', '31', '030', 'serve', 'almost', 'ran', 'away', 'came', 'back', 'good', 'effort', 'side', 'ljubicic', 'loss', 'explain', 'poor', 'showing', 'first', 'set', 'didnt', 'start', 'badly', 'suddenly', 'felt', 'like', 'racket', 'loose', 'ball', 'flying', 'little', 'bit', 'much', 'roger', 'relax', 'second', 'go', 'quick', 'said', 'first', 'three', 'game', 'match', 'dont', 'know', 'really', 'weird', 'playing', 'really', 'well', 'whole', 'year', 'suddenly', 'found', 'trouble', 'put', 'ball', 'court', 'despite', 'defeat', 'world', 'number', '14', 'pleased', 'overall', 'performance', 'chance', 'third', 'really', 'positive', 'twice', 'two', 'week', 'chance', 'roger', 'win', 'match', 'absolutely', 'great', 'boost', 'confidence', 'im', 'belong', 'topclass', 'player']",2
"['record', 'fails', 'lift', 'lacklustre', 'meet', 'yelena', 'isinbayeva', 'may', 'produced', 'another', 'world', 'pole', 'vault', 'record', 'achievement', 'could', 'hide', 'fact', 'best', 'meet', 'ever', 'seen', 'birmingham', 'hey', 'many', 'meet', 'go', 'without', 'russian', 'breaking', 'world', 'record', 'apparently', 'isinbayeva', 'cleared', 'five', 'metre', 'training', 'would', 'love', 'put', 'u', 'misery', 'go', 'rather', 'extending', 'indoor', 'record', 'one', 'centimetre', 'time', 'athletics', 'pushing', 'barrier', 'best', 'would', 'like', 'see', 'go', '5m', 'competition', 'mind', 'every', 'time', 'break', 'record', 'get', '30000', 'afford', 'deliberate', 'world', 'record', 'aside', 'thought', 'encouraging', 'evening', 'work', 'kelly', 'holmes', 'looked', 'good', 'positive', 'agnes', 'samaria', 'came', 'second', 'good', 'shape', 'world', 'top', 'three', '800m', 'runner', 'season', 'yes', 'samaria', 'let', 'kelly', 'get', 'away', 'coming', 'back', 'last', '200m', 'kelly', 'dominated', 'race', 'beating', 'samaria', 'bit', 'benchmark', 'kelly', 'gut', 'feeling', 'kelly', 'would', 'like', 'run', 'european', 'indoor', 'championship', 'hasnt', 'convinced', 'fit', 'enough', 'hand', 'think', 'jason', 'gardener', 'struggling', 'come', 'near', 'going', 'required', 'win', 'men', '60m', 'madrid', 'started', 'well', 'final', 'still', 'could', 'stay', 'frontrunners', 'jason', 'lot', 'experience', 'indoors', 'reason', 'struggling', 'maintain', 'pace', 'finish', 'would', 'nice', 'see', 'mark', 'lewisfrancis', 'could', 'done', 'final', 'hadnt', 'got', 'disqualified', 'blatantly', 'playing', 'falsestart', 'game', 'advantage', 'tripped', 'made', 'look', 'bit', 'silly', 'view', 'youre', 'meant', 'go', 'gun', 'go', 'try', 'unsettle', 'rival', 'employing', 'falsestart', 'tactic', 'remember', 'false', 'start', 'said', 'mark', 'looking', 'much', 'better', 'shape', 'havent', 'seen', 'anything', 'mark', 'jason', 'yet', 'suggests', 'france', 'ronald', 'pognon', 'run', '645', 'second', 'threat', 'european', 'british', 'point', 'view', 'sarah', 'claxtons', 'victory', '60m', 'hurdle', 'best', 'thing', 'come', 'meet', 'something', 'else', 'probably', 'went', 'unnoticed', 'melanie', 'purkiss', 'winning', 'woman', 'national', '400m', 'race', 'new', 'personal', 'best', '5298', 'second', 'aaa', 'champion', 'kim', 'wall', 'came', 'second', 'another', 'lifetime', 'best', 'strong', '4x400m', 'squad', 'going', 'european', 'championship', 'scotland', 'lee', 'mcconnell', 'probably', 'going', 'run', 'real', 'prospect', 'medal', 'international', 'perspective', 'thought', 'meseret', 'defar', 'disappointing', '3000m', 'dont', 'think', 'pacemaking', 'great', 'canadian', 'heather', 'hennigar', 'set', 'fast', 'early', 'pace', 'could', 'maintain', 'jo', 'pavey', 'last', 'year', 'shape', 'would', 'given', 'defar', 'real', 'run', 'money', 'go', 'could', 'hang', 'also', 'expecting', 'bit', 'bernard', 'lagat', 'men', '1500m', 'come', 'usa', 'may', 'sharp', 'still', 'think', 'great', 'shape', 'kenenisa', 'bekele', 'well', 'beaten', 'markos', 'geneti', 'half', 'expectation', 'bekele', 'struggling', 'season', 'hot', 'national', 'indoor', 'arena', 'felt', 'uncomfortable', 'commentary', 'box', 'think', 'condition', 'affected', 'distance', 'runner', 'fact', 'defar', 'complained', 'coach', 'race', 'could', 'get', 'breath', 'properly']",2
"['freeze', 'antispam', 'campaign', 'campaign', 'lycos', 'europe', 'target', 'spamrelated', 'website', 'appears', 'put', 'hold', 'earlier', 'week', 'company', 'released', 'screensaver', 'bombarded', 'site', 'data', 'try', 'bump', 'running', 'cost', 'website', 'site', 'hosting', 'screensaver', 'display', 'pink', 'graphic', 'word', 'stay', 'tuned', 'one', 'lycos', 'available', 'comment', 'latest', 'development', 'controversial', 'antispam', 'campaign', 'lycos', 'europe', 'make', 'love', 'spam', 'campaign', 'intended', 'way', 'user', 'fight', 'back', 'mountain', 'junk', 'mail', 'flooding', 'inboxes', 'people', 'encouraged', 'download', 'screensaver', 'pc', 'idle', 'would', 'send', 'lot', 'data', 'site', 'peddle', 'good', 'service', 'mentioned', 'spam', 'message', 'lycos', 'said', 'idea', 'get', 'spam', 'site', 'running', '95', 'capacity', 'generate', 'big', 'bandwidth', 'bill', 'spammer', 'behind', 'site', 'plan', 'proved', 'controversial', 'monitoring', 'firm', 'netcraft', 'analysed', 'response', 'time', 'site', 'targeted', 'screensaver', 'found', 'number', 'completely', 'knocked', 'offline', 'downing', 'site', 'could', 'dent', 'lycos', 'claim', 'amount', 'distributed', 'denial', 'service', 'attack', 'attack', 'thousand', 'computer', 'bombard', 'site', 'data', 'attempt', 'overwhelm', 'law', 'many', 'country', 'explicitly', 'outlaw', 'attack', 'many', 'nation', 'redrafting', 'computer', 'use', 'law', 'make', 'specific', 'offence', 'lycos', 'europe', 'appears', 'put', 'plan', 'hold', 'site', 'hosting', 'screensaver', 'currently', 'show', 'holding', 'page', 'word', 'stay', 'tuned', 'numerical', 'internet', 'address', 'site', 'also', 'changed', 'likely', 'response', 'spammer', 'reportedly', 'redirected', 'traffic', 'site', 'back', 'lycos', 'screensaver', 'site', 'campaign', 'come', 'fire', 'corner', 'web', 'many', 'discussion', 'group', 'said', 'set', 'dangerous', 'precedent', 'could', 'incite', 'vigilantism', 'attacking', 'spammer', 'website', 'like', 'poking', 'grizzly', 'bear', 'sleeping', 'back', 'garden', 'pointy', 'stick', 'said', 'graham', 'cluley', 'senior', 'technology', 'consultant', 'sophos', 'screensaver', 'similar', 'approach', 'potentially', 'illegal', 'distributed', 'denial', 'service', 'attack', 'also', 'danger', 'turning', 'innocent', 'computer', 'user', 'vigilante', 'may', 'prepared', 'whatever', 'retaliation', 'spammer', 'care', 'dream']",4
"['u', 'tv', 'special', 'tsunami', 'relief', 'u', 'television', 'network', 'screen', 'celebrity', 'tv', 'special', 'benefit', 'tsunami', 'relief', 'effort', 'south', 'asia', 'nbc', 'encourage', 'viewer', 'donation', 'hourlong', 'show', 'featuring', 'musical', 'performance', '15', 'january', 'actress', 'sandra', 'bullock', 'donated', '1m', '525000', 'american', 'red', 'cross', 'actor', 'leonardo', 'dicaprio', 'pledged', 'sizable', 'aid', 'contribution', 'unicef', 'meanwhile', '70', 'hong', 'kong', 'music', 'movie', 'star', 'rerecorded', 'world', 'mandarin', 'cantonese', 'raise', 'fund', 'song', 'released', 'single', 'played', 'regularly', 'chinese', 'telethon', 'friday', 'aid', 'victim', 'boxing', 'day', 'disaster', 'around', '140000', 'people', 'killed', 'five', 'million', 'left', 'homeless', 'without', 'food', 'water', 'earthquake', 'indian', 'ocean', 'sent', 'wave', 'crashing', 'coastal', 'community', '11', 'country', 'united', 'nation', 'warned', 'number', 'killed', 'disaster', 'could', 'rise', 'sharply', 'aid', 'yet', 'reach', 'remote', 'area', 'performer', 'yet', 'confirmed', 'nbcs', 'aid', 'relief', 'benefit', 'later', 'month', 'follows', 'twohour', 'telethon', 'carried', 'four', 'major', 'u', 'television', 'network', '10', 'day', '11', 'september', 'terror', 'attack', '2001', 'america', 'tribute', 'hero', 'raised', '150m', '79m', 'help', 'victim', 'suicide', 'attack', 'world', 'trade', 'center', 'pentagon']",0
"['gamers', 'snap', 'new', 'sony', 'psp', 'gamers', 'bought', 'almost', 'first', 'batch', 'sonys', 'new', 'playstation', 'portable', 'psp', 'game', 'console', 'went', 'sale', 'japan', 'sunday', 'thousand', 'people', 'queued', 'hour', 'get', 'hold', 'one', '200000', 'psps', 'shipped', 'retailer', 'handheld', 'console', 'play', 'game', 'music', 'movie', 'go', 'sale', 'europe', 'north', 'america', 'next', 'year', 'despite', 'demand', 'sony', 'said', 'would', 'increase', '500000strong', 'stock', 'psps', 'plan', 'ship', 'year', 'end', 'sony', 'say', 'intends', 'ship', 'three', 'million', 'console', 'march', '2005', 'company', 'hoping', 'challenge', 'dominance', 'nintendo', 'handheld', 'market', 'nintendo', 'released', 'new', 'd', 'console', 'earlier', 'year', 'already', 'raised', 'shipment', 'target', 'device', '40', 'psp', 'selling', 'japan', '19800', 'yen', '188', '98', 'nintendos', 'd', 'console', 'sell', 'u', 'japan', '150', '78', 'nintendos', 'goal', 'ship', '5', 'million', 'new', 'nintendo', 'd', 'handheld', 'console', 'march', '2005']",4
"['tottenham', 'bid', '1638m', 'forest', 'duo', 'nottingham', 'forest', 'confirmed', 'received', '8m', 'bid', 'tottenham', 'andy', 'reid', 'michael', 'dawson', 'reid', 'rejected', 'move', 'southampton', 'forest', 'accepted', 'cashplusplayers', 'offer', 'spur', 'made', 'previous', 'bid', '22yearold', 'spur', 'also', 'made', 'undisclosed', 'offer', '21yearold', 'defender', 'dawson', 'forest', 'chief', 'executive', 'mark', 'arthur', 'said', 'weve', 'received', '8m', 'bid', 'spur', 'two', 'player', 'considering', 'offer', 'southamptons', 'offer', 'republic', 'ireland', 'international', 'reid', 'comprised', '3mplus', 'two', 'player', 'brett', 'ormerod', 'darren', 'kenton', 'spur', 'seen', 'previous', 'bid', '3m', '4m', '5m', 'reid', 'rejected', 'championship', 'club']",2
